customer_id,last_activity,days_since_last_activity,discount_received,discount_used,feedback_comment,engagement_day,churned
1001,Email Click,62,1,0,Support not helpful,Weekday,1
1002,Browsing,84,0,0,App crashes often,Weekday,0
1003,Support Ticket,89,0,1,Poor experience,Weekday,0
1004,Browsing,86,0,0,Support not helpful,Weekday,1
1005,Browsing,13,1,0,App crashes often,Weekday,0
1006,App Login,59,0,0,Too expensive,Weekday,0
1007,Support Ticket,19,1,0,App crashes often,Weekday,0
1008,Support Ticket,49,1,0,Too expensive,Weekend,0
1009,Support Ticket,12,1,0,Loved the offers,Weekday,1
1010,Browsing,61,0,1,Delivery delayed,Weekday,0
1011,Email Click,19,1,0,Checkout was slow,Weekday,0
1012,Support Ticket,76,0,1,App crashes often,Weekday,0
1013,Browsing,9,1,1,Satisfied,Weekend,0
1014,App Login,71,0,1,Support not helpful,Weekday,0
1015,Email Click,28,0,0,Great service,Weekend,0
1016,App Login,78,1,0,Checkout was slow,Weekend,0
1017,Email Click,52,0,0,Great service,Weekend,0
1018,Browsing,83,0,0,Loved the offers,Weekday,1
1019,Purchase,16,1,1,Checkout was slow,Weekend,0
1020,Email Click,69,1,0,Checkout was slow,Weekend,0
1021,App Login,12,1,0,Great service,Weekday,0
1022,Browsing,25,1,1,Too expensive,Weekday,0
1023,Email Click,52,1,1,Great service,Weekday,1
1024,Purchase,85,0,0,Too expensive,Weekday,0
1025,Purchase,53,0,0,Loved the offers,Weekday,1
1026,Support Ticket,23,0,0,Support not helpful,Weekday,1
1027,Support Ticket,16,1,0,Poor experience,Weekday,0
1028,App Login,57,1,0,Too expensive,Weekday,1
1029,Email Click,39,1,0,Loved the offers,Weekday,0
1030,Email Click,53,1,0,Satisfied,Weekday,0
1031,Support Ticket,42,1,0,Loved the offers,Weekday,0
1032,Email Click,58,0,0,Great service,Weekday,0
1033,Email Click,39,1,0,Great service,Weekday,1
1034,Purchase,14,1,0,Poor experience,Weekend,1
1035,Support Ticket,5,1,1,Loved the offers,Weekday,1
1036,Browsing,35,0,1,Delivery delayed,Weekday,0
1037,Support Ticket,87,1,0,Support not helpful,Weekend,0
1038,Browsing,75,1,0,Great service,Weekday,0
1039,Purchase,18,1,0,Poor experience,Weekday,1
1040,App Login,76,1,1,Support not helpful,Weekend,0
1041,Email Click,9,1,1,Loved the offers,Weekend,1
1042,Purchase,74,1,0,Loved the offers,Weekday,0
1043,Email Click,58,0,1,Checkout was slow,Weekday,0
1044,App Login,17,1,0,Poor experience,Weekend,1
1045,App Login,7,1,0,Great service,Weekday,0
1046,Purchase,46,1,1,Delivery delayed,Weekday,0
1047,App Login,13,1,1,Loved the offers,Weekend,1
1048,Browsing,40,1,1,Delivery delayed,Weekday,0
1049,App Login,42,1,1,Loved the offers,Weekday,1
1050,Email Click,9,1,0,Great service,Weekday,0
1051,Email Click,50,0,1,Support not helpful,Weekend,1
1052,Email Click,27,1,0,App crashes often,Weekday,1
1053,Email Click,66,1,1,Support not helpful,Weekday,0
1054,Browsing,5,0,0,Loved the offers,Weekday,0
1055,Support Ticket,29,1,1,App crashes often,Weekday,1
1056,Purchase,37,1,0,App crashes often,Weekday,0
1057,Email Click,38,1,1,Delivery delayed,Weekend,1
1058,App Login,83,1,0,Poor experience,Weekday,0
1059,Email Click,8,0,1,Delivery delayed,Weekday,0
1060,App Login,65,0,0,Delivery delayed,Weekend,1
1061,App Login,86,0,0,Support not helpful,Weekday,1
1062,Email Click,17,1,0,Support not helpful,Weekend,0
1063,Browsing,71,0,0,Satisfied,Weekday,1
1064,App Login,89,0,1,Loved the offers,Weekday,0
1065,App Login,45,0,0,Satisfied,Weekday,0
1066,Email Click,4,1,1,Great service,Weekend,1
1067,App Login,36,1,0,Loved the offers,Weekday,1
1068,App Login,70,0,0,Loved the offers,Weekday,1
1069,Email Click,31,0,1,Checkout was slow,Weekday,0
1070,Email Click,19,1,1,Checkout was slow,Weekday,0
1071,Purchase,61,1,0,Too expensive,Weekday,0
1072,Browsing,54,0,0,Too expensive,Weekend,0
1073,Browsing,39,1,1,Delivery delayed,Weekday,0
1074,App Login,74,0,0,Great service,Weekend,1
1075,Browsing,19,0,1,App crashes often,Weekday,0
1076,App Login,39,1,1,App crashes often,Weekday,1
1077,Purchase,67,1,1,Checkout was slow,Weekday,1
1078,Email Click,45,1,0,Checkout was slow,Weekday,0
1079,Email Click,13,0,1,Checkout was slow,Weekend,1
1080,Email Click,58,1,0,Poor experience,Weekend,1
1081,Browsing,20,1,0,Too expensive,Weekday,0
1082,Purchase,72,0,0,Support not helpful,Weekday,0
1083,Browsing,61,1,0,App crashes often,Weekday,0
1084,Browsing,39,0,1,Loved the offers,Weekend,0
1085,Purchase,1,1,1,Too expensive,Weekday,1
1086,Purchase,3,0,1,Satisfied,Weekday,0
1087,Purchase,77,1,0,Support not helpful,Weekend,1
1088,Purchase,62,0,0,Too expensive,Weekday,1
1089,Email Click,63,1,0,Great service,Weekday,0
1090,Support Ticket,25,1,1,Loved the offers,Weekday,1
1091,Support Ticket,56,1,0,Too expensive,Weekend,0
1092,Purchase,33,0,1,Poor experience,Weekday,0
1093,Support Ticket,38,1,0,Checkout was slow,Weekday,1
1094,Support Ticket,6,0,0,Checkout was slow,Weekday,0
1095,Purchase,58,1,1,Loved the offers,Weekday,0
1096,Support Ticket,44,0,0,Checkout was slow,Weekday,0
1097,Browsing,45,0,1,Too expensive,Weekday,0
1098,App Login,32,0,1,Satisfied,Weekday,1
1099,App Login,45,1,0,App crashes often,Weekday,0
1100,Purchase,61,1,0,App crashes often,Weekday,0
1101,Email Click,47,0,0,Support not helpful,Weekday,0
