customer_id,offer_taken_date,gender,age,branch_name,branch_rank,valid_upto,bill_amount,offer_usage_count,discount_amount,area_of_branch,customer_comment,food_rating,serving_rating,category,tip_amount,offer_taken
CUST0001,2025-01-02,M,18.0,Branch_3,3,2025-04-02,600,10,120.0,Hitech City,Not worth it :(,4.0,1.0,Veg,0,Yes
CUST0002,2025-01-15,Unknown,30.0,Branch_9,9,2025-04-15,1200,5,0.0,Uppal,Not much benefit,5.0,3.0,Veg,1000,Yes
CUST0003,2025-02-14,Unknown,18.0,Branch_4,4,2025-05-15,600,3,120.0,Kukatpally,good savings,4.0,1.0,Veg,1000,Yes
CUST0004,,Unknown,18.0,Branch_1,1,,1200,0,0.0,Madhapur,nan,4.0,1.0,Non-Veg,20,No
CUST0005,,M,30.0,Branch_2,2,,1200,0,0.0,Gachibowli,Too crowded!!!,3.0,1.0,Veg,1000,No
CUST0006,2025-01-25,F,60.0,Branch_6,6,2025-04-25,900,2,180.0,Secunderabad,Offer okay,2.0,3.0,Veg,300,Yes
CUST0007,2025-02-08,F,30.0,Branch_4,4,2025-05-09,300,10,60.0,Kukatpally,Crowded but good,3.0,3.0,Non-Veg,100,Yes
CUST0008,2025-02-13,F,30.0,Branch_1,1,2025-05-14,12000,2,2400.0,Madhapur,Too crowded!!!,3.0,4.0,Veg,0,Yes
CUST0009,2025-02-28,Unknown,30.0,Branch_8,8,2025-05-29,3000,5,600.0,Dilsukhnagar,Worth the price??,3.0,2.0,Veg,300,Yes
CUST0010,,Unknown,60.0,Branch_7,7,,3000,0,0.0,LB Nagar,nan,2.0,5.0,Non-Veg,0,No
CUST0011,2025-02-25,M,30.0,Branch_7,7,2025-05-26,300,0,60.0,LB Nagar,Crowded but good,5.0,4.0,Non-Veg,20,Yes
CUST0012,2025-02-13,Unknown,60.0,Branch_9,9,2025-05-14,50,10,10.0,Uppal,good savings,3.0,4.0,Veg,50,Yes
CUST0013,2025-02-16,M,45.0,Branch_3,3,2025-05-17,600,10,120.0,Hitech City,average,3.0,5.0,Non-Veg,10,Yes
CUST0014,2025-01-24,M,60.0,Branch_9,9,2025-04-24,300,15,60.0,Uppal,Not much benefit,1.0,1.0,Veg,1000,Yes
CUST0015,,M,18.0,Branch_4,4,,300,0,0.0,Kukatpally,good????,4.0,1.0,Non-Veg,1000,No
CUST0016,2025-01-09,Unknown,30.0,Branch_3,3,2025-04-09,900,10,180.0,Hitech City,nan,5.0,3.0,Non-Veg,10,Yes
CUST0017,,Unknown,30.0,Branch_6,6,,900,0,0.0,Secunderabad,good savings,2.0,2.0,Veg,20,No
CUST0018,2025-02-07,M,30.0,Branch_1,1,2025-05-08,300,5,60.0,Madhapur,nan,1.0,1.0,Veg,0,Yes
